ABBR,TEAM_NAME,CONF,GP,W,L,W_PCT,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,EFG_PCT,AST_PCT,OREB_PCT,DREB_PCT,TOV_PCT,PIE,HOME_W,HOME_L,AWAY_W,AWAY_L,CLUTCH_W,CLUTCH_L,CLUTCH_WIN_PCT,CLUTCH_ORTG,CLUTCH_DRTG,CLUTCH_NET,FF_EFG,FF_FTA,FF_TOV,FF_OREB,FF_OPP_EFG,FF_OPP_FTA,FF_OPP_TOV,FF_OPP_OREB,HOME_WIN_PCT,AWAY_WIN_PCT,NET_RANK,ORTG_RANK,DRTG_RANK,WIN_RANK,TS_RANK
OKC,Oklahoma City Thunder,W,82,64,18,0.78,117.3,43.8,28.9,9.2,5.4,13.1,0.472,0.386,0.768,10.4,33.4,119.0,107.8,11.2,99.3,0.625,0.558,60.8,24.7,74.2,12.1,0.192,34,8,30,10,17,7,0.708,116.8,106.9,9.9,0.558,0.291,0.121,0.247,0.499,0.328,0.132,0.272,0.8095238095238095,0.75,1,7,1,1,4
SAS,San Antonio Spurs,W,82,62,20,0.756,117.6,43.5,28.4,8.1,5.6,13.5,0.474,0.381,0.774,10.1,33.4,119.7,111.4,8.3,99.9,0.628,0.556,61.2,22.9,74.7,12.6,0.185,32,8,30,12,15,8,0.652,117.4,110.8,6.6,0.556,0.298,0.126,0.229,0.518,0.328,0.134,0.274,0.8,0.7142857142857143,2,4,3,2,3
DET,Detroit Pistons,E,82,60,22,0.732,115.3,43.6,27.9,8.3,5.2,13.2,0.469,0.376,0.772,10.5,33.1,117.9,109.8,8.1,99.2,0.618,0.548,60.1,23.8,73.9,12.3,0.182,32,9,28,13,16,7,0.696,115.6,109.2,6.4,0.548,0.295,0.123,0.238,0.512,0.324,0.13,0.271,0.7804878048780488,0.6829268292682927,3,10,2,3,10
BOS,Boston Celtics,E,82,56,26,0.683,114.0,43.9,27.8,7.2,5.1,13.4,0.481,0.401,0.783,10.2,33.7,120.8,112.7,8.1,94.9,0.638,0.569,59.6,23.0,75.4,12.0,0.186,30,11,26,15,13,9,0.591,118.4,112.1,6.3,0.569,0.278,0.12,0.23,0.526,0.302,0.127,0.27,0.7317073170731707,0.6341463414634146,3,2,4,4,1
DEN,Denver Nuggets,W,82,54,28,0.659,118.9,44.3,29.4,6.6,5.0,13.7,0.488,0.376,0.782,10.3,34.0,122.6,117.4,5.2,98.3,0.634,0.561,62.5,23.1,75.8,12.4,0.177,28,13,26,15,13,10,0.565,120.2,116.8,3.4,0.561,0.289,0.124,0.231,0.54,0.318,0.132,0.279,0.6829268292682927,0.6341463414634146,7,1,21,5,2
NYK,New York Knicks,E,82,53,29,0.646,115.5,43.7,26.4,7.0,4.7,13.1,0.47,0.375,0.776,10.4,33.3,119.9,113.4,6.5,96.8,0.624,0.552,58.3,23.5,74.2,12.3,0.174,30,10,23,19,14,9,0.609,117.8,115.2,2.6,0.552,0.303,0.127,0.235,0.532,0.32,0.13,0.275,0.75,0.5476190476190477,5,3,7,6,6
HOU,Houston Rockets,W,82,52,30,0.634,112.8,44.8,27.3,8.5,5.4,13.5,0.463,0.358,0.752,11.9,32.9,118.6,113.3,5.3,96.2,0.606,0.53,58.4,26.5,73.3,13.1,0.17,30,11,22,19,12,11,0.522,116.3,114.4,1.9,0.53,0.314,0.133,0.265,0.53,0.327,0.132,0.281,0.7317073170731707,0.5365853658536586,6,8,6,8,17
CLE,Cleveland Cavaliers,E,82,52,30,0.634,116.4,43.9,27.8,7.7,6.4,12.9,0.471,0.374,0.771,10.1,33.8,119.2,115.1,4.1,99.9,0.618,0.545,58.9,22.8,75.1,11.7,0.178,27,14,25,16,15,9,0.625,116.9,114.3,2.6,0.545,0.268,0.117,0.228,0.53,0.298,0.124,0.267,0.6585365853658537,0.6097560975609756,9,6,15,8,10
