Defender,Opponent,Opp_FG,Opp_PPG,Opp_season_FG,Opp_season_PPG,Series,FG_suppression,PPG_suppression
OG Anunoby,D.A. Fox,0.432,15.6,0.472,18.6,SAS,0.03999999999999998,3.0000000000000018
OG Anunoby,Vassell,0.401,11.4,0.448,13.9,SAS,0.046999999999999986,2.5
M. Bridges,S. Castle,0.438,14.2,0.468,16.7,SAS,0.030000000000000027,2.5
M. Bridges,D.A. Fox,0.452,16.8,0.472,18.6,SAS,0.019999999999999962,1.8000000000000007
KAT,Wembanyama,0.461,21.2,0.514,25.0,SAS,0.05299999999999999,3.8000000000000007
KAT,Wemby (G1),0.286,26.0,0.514,25.0,Finals G1,0.22800000000000004,-1.0
J. Hart,S. Castle,0.458,15.8,0.468,16.7,SAS,0.010000000000000009,0.8999999999999986
